county,x,y
Baringo,-158,45
Bomet,-221,-94
Bungoma,-273,38
Busia,-310,10
Elgeyo Marakwet,-196,65
Embu,-21,-74
Garissa,208,-80
Homa Bay,-305,-72
Isiolo,73,66
Kajiado,-91,-206
Kakamega,-278,2
Kericho,-223,-53
Kiambu,-97,-114
Kilifi,167,-275
Kirinyaga,-47,-63
Kisii,-255,-90
Kisumu,-244,-35
Kitui,44,-162
Kwale,104,-375
Laikipia,-90,8
Lamu,224,-192
Machakos,-58,-140
Makueni,-40,-182
Mandera,253,263
Marsabit,-66,268
Meru,-8,-5
Migori,-294,-101
Mombasa,148,-341
Muranga,-86,-89
Nairobi,-83,-126
Nakuru,-170,-50
Nandi,-228,-12
Narok,-168,-131
Nyamira,-240,-77
Nyandarua,-124,-43
Nyeri,-79,-52
Samburu,-68,92
Siaya,-300,-20
Taita Taveta,14,-310
Tana River,115,-117
Tharaka Nithi,-18,-43
Trans-Nzoia,-260,65
Turkana,-186,243
Uasin Gishu,-216,22
Wajir,201,113
West Pokot,-230,101
Vihiga,-260,-18






